"x","y","p","dens"
0.25,0.0111666666666667,0,0
0.75,0.0111666666666667,0,0
1.25,0.0111666666666667,0,0
1.75,0.0111666666666667,0,0
2.25,0.0111666666666667,0,0
2.75,0.0111666666666667,0,0
3.25,0.0111666666666667,0,0
3.75,0.0111666666666667,0,0
4.25,0.0111666666666667,0,0
4.75,0.0111666666666667,0,0
5.25,0.0111666666666667,0,0
5.75,0.0111666666666667,0,0
6.25,0.0111666666666667,0,0
6.75,0.0111666666666667,0,0
0.25,0.0135,0,0
0.75,0.0135,0,0
1.25,0.0135,0,0
1.75,0.0135,0,0
2.25,0.0135,0,0
2.75,0.0135,0,0
3.25,0.0135,0,0
3.75,0.0135,0,0
4.25,0.0135,0,0
4.75,0.0135,0,0
5.25,0.0135,0,0
5.75,0.0135,0,0
6.25,0.0135,0,0
6.75,0.0135,0,0
0.25,0.0158333333333333,0,0
0.75,0.0158333333333333,0,0
1.25,0.0158333333333333,0,0
1.75,0.0158333333333333,0,0
2.25,0.0158333333333333,0,0
2.75,0.0158333333333333,0,0
3.25,0.0158333333333333,0,0
3.75,0.0158333333333333,0,0
4.25,0.0158333333333333,0,0
4.75,0.0158333333333333,0,0
5.25,0.0158333333333333,0,0
5.75,0.0158333333333333,0,0
6.25,0.0158333333333333,0,0
6.75,0.0158333333333333,0,0
0.25,0.0181666666666667,0,0
0.75,0.0181666666666667,0,0
1.25,0.0181666666666667,0,0
1.75,0.0181666666666667,0,0
2.25,0.0181666666666667,0,0
2.75,0.0181666666666667,0,0
3.25,0.0181666666666667,0,0
3.75,0.0181666666666667,0,0
4.25,0.0181666666666667,0,0
4.75,0.0181666666666667,0,0
5.25,0.0181666666666667,0,0
5.75,0.0181666666666667,0,0
6.25,0.0181666666666667,0,0
6.75,0.0181666666666667,0,0
0.25,0.0205,0,0
0.75,0.0205,0,0
1.25,0.0205,0,0
1.75,0.0205,0.00162611875622919,1.39381607676787
2.25,0.0205,0.00121958906717189,1.04536205757591
2.75,0.0205,0.000406529689057297,0.348454019191969
3.25,0.0205,0,0
3.75,0.0205,0,0
4.25,0.0205,0,0
4.75,0.0205,0,0
5.25,0.0205,0,0
5.75,0.0205,0,0
6.25,0.0205,0,0
6.75,0.0205,0,0
0.25,0.0228333333333333,0,0
0.75,0.0228333333333333,0,0
1.25,0.0228333333333333,0,0
1.75,0.0228333333333333,0.000406529689057297,0.348454019191969
2.25,0.0228333333333333,0.00121958906717189,1.04536205757591
2.75,0.0228333333333333,0.000813059378114594,0.696908038383937
3.25,0.0228333333333333,0.000813059378114594,0.696908038383937
3.75,0.0228333333333333,0.000406529689057297,0.348454019191969
4.25,0.0228333333333333,0.000406529689057297,0.348454019191969
4.75,0.0228333333333333,0,0
5.25,0.0228333333333333,0,0
5.75,0.0228333333333333,0,0
6.25,0.0228333333333333,0,0
6.75,0.0228333333333333,0,0
0.25,0.0251666666666667,0,0
0.75,0.0251666666666667,0,0
1.25,0.0251666666666667,0.000406529689057297,0.348454019191969
1.75,0.0251666666666667,0.000406529689057297,0.348454019191969
2.25,0.0251666666666667,0.00121958906717189,1.04536205757591
2.75,0.0251666666666667,0.00121958906717189,1.04536205757591
3.25,0.0251666666666667,0.00121958906717189,1.04536205757591
3.75,0.0251666666666667,0,0
4.25,0.0251666666666667,0,0
4.75,0.0251666666666667,0.000813059378114594,0.696908038383937
5.25,0.0251666666666667,0,0
5.75,0.0251666666666667,0,0
6.25,0.0251666666666667,0,0
