         1070383 function calls (1039921 primitive calls) in 7.628 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      230    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:950(set_joinstyle)
      230    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:961(set_linewidth)
      230    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:973(set_snap)
      226    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2772(__init__)
      226    0.004    0.000    0.005    0.000 /usr/lib/python3.10/inspect.py:3043(_bind)
      226    0.000    0.000    0.005    0.000 /usr/lib/python3.10/inspect.py:3174(bind)
      225    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:263(y0)
      219    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:859(get_clip_box)
      217    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:567(<dictcomp>)
      217    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:564(_axis_map)
      216    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:2113(<genexpr>)
      214    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      214    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2678(__init__)
      208    0.000    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:1184(set_marker)
      204    0.001    0.000    0.048    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:1319(update_from)
      204    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:858(set_alpha)
      204    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:134(<dictcomp>)
      204    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:131(__getstate__)
      204    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:141(<dictcomp>)
      204    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:136(__setstate__)
      204    0.000    0.000    0.013    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/path.py:281(__deepcopy__)
      204    0.000    0.000    0.004    0.000 /usr/lib/python3.10/copy.py:237(_deepcopy_method)
      202    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:855(get_clip_on)
      201    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:253(x0)
      197    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/path.py:244(simplify_threshold)
      197    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/path.py:256(should_simplify)
      196    0.000    0.000    0.016    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1869(inverted)
      192    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      192    0.001    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1485(_get_tick_label_size)
      192    0.001    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:233(<listcomp>)
      192    0.001    0.000    0.030    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:230(format_ticks)
      192    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:253(set_locs)
      192    0.001    0.000    0.039    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:711(set_locs)
      192    0.003    0.000    0.009    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:720(_compute_offset)
      192    0.002    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:759(_set_order_of_magnitude)
      192    0.005    0.000    0.023    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:793(_set_format)
      192    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1651(raise_if_exceeds)
      192    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1908(scale_range)
      192    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1926(__init__)
      192    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1947(le)
      192    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1954(ge)
      192    0.007    0.000    0.070    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2081(_raw_ticks)
      192    0.001    0.000    0.081    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2141(__call__)
      192    0.001    0.000    0.076    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2145(tick_values)
      192    0.001    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:474(transformed)
      192    0.001    0.000    0.027    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1413(__sub__)
      192    0.000    0.000    0.005    0.000 {method 'clip' of 'numpy.ndarray' objects}
      192    0.000    0.000    0.002    0.000 {method 'sum' of 'numpy.ndarray' objects}
      192    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
      192    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2107(_clip_dispatcher)
      192    0.000    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2111(clip)
      192    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2600(_ptp_dispatcher)
      192    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2604(ptp)
      192    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_methods.py:47(_sum)
      192    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_methods.py:108(_clip_dep_invoke_with_casting)
      192    0.001    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_methods.py:127(_clip)
      192    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_methods.py:281(_ptp)
      192    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:33(seterr)
      192    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:132(geterr)
      192    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
      192    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(clip)
      192    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(ptp)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
   190/80    0.001    0.000    0.242    0.003 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:379(wrapper)
      184    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1773(__array__)
  184/160    0.000    0.000    0.042    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:795(get_clip_path)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:810(get_dashes)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:847(get_snap)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:988(get_hatch)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:992(get_hatch_path)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:999(get_hatch_color)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:1007(get_hatch_linewidth)
      183    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:1011(get_sketch_params)
      171    0.000    0.000    0.000    0.000 /usr/lib/python3.10/pathlib.py:239(splitroot)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:558(locator)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:569(formatter)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:699(isDefault_majloc)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:707(isDefault_majfmt)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:715(isDefault_minloc)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:723(isDefault_minfmt)
      168    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1766(_set_formatter)
      168    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/spines.py:135(get_patch_transform)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/spines.py:198(get_path)
      168    0.001    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/spines.py:226(_adjust_location)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/patches.py:271(get_patch_transform)
      168    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:246(frozen)
      168    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:784(frozen)
      168    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1006(minpos)
      166    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/image.py:123(<genexpr>)
      164    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/IPython/core/formatters.py:550(_in_deferred_types)
      162    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:574(get_url)
      162    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:714(_get_transformed_path)
      162    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:293(__bool__)
      162    0.000    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2756(_revalidate)
      162    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2796(get_affine)
      156    0.000    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:237(_get_xy_display)
      156    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:274(_set_locator)
      155    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      153    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2127(get_matrix)
      150    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:699(_transform_path)
      150    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2741(__init__)
      148    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:43(get_hinting_flag)
      148    0.001    0.000    0.009    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:268(_prepare_font)
      148    0.001    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:1359(_find_fonts_by_props)
      148    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:1579(get_font)
      148    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:1201(<dictcomp>)
      148    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
      148    0.000    0.000    0.000    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
      148    0.008    0.000    0.008    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      148    0.000    0.000    0.000    0.000 {method 'get_descent' of 'matplotlib.ft2font.FT2Font' objects}
      145    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/patches.py:732(_convert_units)
      145    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2586(__init__)
      144    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      139    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:820(get_in_layout)
      138    0.000    0.000    0.017    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/patches.py:601(get_window_extent)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:597(get_markevery)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:895(get_drawstyle)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:935(get_markeredgecolor)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:318(get_joinstyle)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:321(get_capstyle)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:324(get_marker)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:369(get_path)
      138    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:378(get_transform)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:388(get_alt_path)
      138    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/markers.py:407(get_snap_threshold)
      138    0.000    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1588(transform_path)
      138    0.000    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1597(transform_path_affine)
      138    0.000    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1799(transform_path_affine)
      138    0.000    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2769(get_transformed_points_and_affine)
      138    0.001    0.000    0.013    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/path.py:604(get_extents)
      136    0.001    0.000    0.001    0.000 {built-in method builtins.round}
      136    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:264(get_canvas_width_height)
      136    0.001    0.000    0.104    0.001 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:298(draw)
      136    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:541(get_wrap)
      136    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:622(_get_wrapped_text)
      136    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:743(get_color)
      136    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:805(get_alpha)
      136    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:632(flipy)
      136    0.000    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:283(update_from)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      135    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      135    0.001    0.000    0.011    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/patches.py:740(get_patch_transform)
      135    0.000    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/patches.py:874(get_bbox)
      134    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      134    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2328(_any_dispatcher)
      134    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2333(any)
      134    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(any)
      132    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      129    0.000    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:831(_fully_clipped_to_axes)
      129    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2312(get_matrix)
      128    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/traitlets/config/configurable.py:125(<listcomp>)
      128    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/traitlets/config/configurable.py:122(section_names)
      126    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/_api/__init__.py:173(check_getitem)
      126    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:2324(_unpack_to_numpy)
      121    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1087(__init__)
      120    0.002    0.000    0.029    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/spines.py:142(get_window_extent)
      120    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      117    0.000    0.000    0.012    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:1028(get_path)
      116    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:115(__hash__)
      112    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/traitlets/traitlets.py:263(__init__)
      112    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/traitlets/traitlets.py:266(__call__)
      106    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/patches.py:315(_set_edgecolor)
      106    0.000    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/patches.py:341(_set_facecolor)
      104    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:196(_set_labelrotation)
      104    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:208(_apply_tickdir)
      104    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:228(get_tick_padding)
      104    0.000    0.000    0.177    0.002 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1476(_get_tick)
      104    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:154(<dictcomp>)
      104    0.004    0.000    0.128    0.001 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:58(__init__)
      104    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:970(set_alpha)
      104    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/colors.py:231(_has_alpha_channel)
   104/92    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      103    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
      103    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/multiarray.py:668(result_type)
   100/50    0.001    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/units.py:181(get_converter)
      100    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1749(<genexpr>)
      100    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1709(_safe_first_finite)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       97    0.001    0.000    0.013    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:743(set_clip_path)
       96    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       96    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:733(get_remove_overlapping_locs)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:897(reset_ticks)
       96    0.005    0.000    0.353    0.004 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1185(_update_ticks)
       96    0.001    0.000    0.142    0.001 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1232(<listcomp>)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1234(<listcomp>)
       96    0.000    0.000    0.143    0.001 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1228(_get_ticklabel_bboxes)
       96    0.000    0.000    0.051    0.001 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1414(get_majorticklocs)
       96    0.002    0.000    0.045    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1418(get_minorticklocs)
       96    0.000    0.000    0.178    0.002 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1527(get_major_ticks)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1540(get_minor_ticks)
       96    0.001    0.000    0.032    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:2422(get_tick_space)
       96    0.001    0.000    0.015    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:2674(get_tick_space)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:3028(<genexpr>)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1772(__call__)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1775(tick_values)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/numeric.py:2274(_isclose_dispatcher)
       96    0.002    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/numeric.py:2359(within_tol)
       96    0.001    0.000    0.009    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/numeric.py:2278(isclose)
       96    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:426(__init__)
       96    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
       96    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
       96    0.000    0.000    0.009    0.000 <__array_function__ internals>:177(isclose)
       96    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:823(__contains__)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       92    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:602(get_snap)
       92    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:900(set_dashes)
       90    0.000    0.000    0.024    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:322(get_tightbbox)
       90    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:409(__subclasshook__)
       87    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       87    0.001    0.000    0.002    0.000 /usr/lib/python3.10/pathlib.py:56(parse_parts)
       87    0.000    0.000    0.002    0.000 /usr/lib/python3.10/pathlib.py:569(_parse_args)
       87    0.000    0.000    0.000    0.000 /usr/lib/python3.10/pathlib.py:608(_format_parsed_parts)
       87    0.000    0.000    0.000    0.000 /usr/lib/python3.10/pathlib.py:621(__str__)
       86    0.000    0.000    0.002    0.000 /usr/lib/python3.10/pathlib.py:589(_from_parts)
       85    0.000    0.000    0.002    0.000 /usr/lib/python3.10/pathlib.py:957(__new__)
       84    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:381(<dictcomp>)
       84    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:394(<dictcomp>)
       84    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:399(<dictcomp>)
       84    0.001    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:356(_apply_params)
       84    0.000    0.000    0.026    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:771(_set_scale)
       84    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1726(set_major_formatter)
       84    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1752(set_minor_formatter)
       84    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1792(set_major_locator)
       84    0.000    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axis.py:1808(set_minor_locator)
       84    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:756(get_window_extent)
       84    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/scale.py:96(__init__)
       84    0.000    0.000    0.025    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/scale.py:103(set_default_locators_and_formatters)
       84    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/scale.py:699(scale_factory)
