         1070383 function calls (1039921 primitive calls) in 7.628 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3721    0.002    0.000    0.004    0.000 {built-in method builtins.any}
3598/1946    0.004    0.000    0.006    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
     3565    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     3526    0.003    0.000    0.010    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:82(_stale_axes_callback)
     3189    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
     3144    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/figure.py:2674(_get_dpi)
     3044    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
     3041    0.002    0.000    0.003    0.000 /usr/lib/python3.10/enum.py:359(__call__)
     3041    0.001    0.000    0.001    0.000 /usr/lib/python3.10/enum.py:678(__new__)
     2985    0.002    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     2985    0.001    0.000    0.004    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
     2932    0.007    0.000    0.029    0.000 /usr/lib/python3.10/copy.py:259(_reconstruct)
     2844    0.006    0.000    0.007    0.000 /usr/lib/python3.10/contextlib.py:102(__init__)
2844/2696    0.002    0.000    0.019    0.000 /usr/lib/python3.10/contextlib.py:130(__enter__)
2844/2696    0.003    0.000    0.017    0.000 /usr/lib/python3.10/contextlib.py:139(__exit__)
     2844    0.002    0.000    0.009    0.000 /usr/lib/python3.10/contextlib.py:279(helper)
     2834    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2701    0.001    0.000    0.003    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/figure.py:51(_stale_figure_callback)
     2673    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     2616    0.004    0.000    0.004    0.000 {built-in method matplotlib._path.affine_transform}
2616/2615    0.003    0.000    0.009    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1848(transform_affine)
     2592    0.004    0.000    0.012    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1886(__init__)
     2582    0.008    0.000    0.026    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:754(__init__)
     2550    0.001    0.000    0.006    0.000 {method 'max' of 'numpy.ndarray' objects}
     2550    0.001    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_methods.py:39(_amax)
     2524    0.003    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
     2524    0.002    0.000    0.002    0.000 /usr/lib/python3.10/copyreg.py:100(__newobj__)
     2520    0.000    0.000    0.000    0.000 /usr/lib/python3.10/copy.py:107(_copy_immutable)
2478/2477    0.001    0.000    0.010    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1782(transform)
2454/1322    0.002    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2410(<lambda>)
     2448    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2396    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2396    0.002    0.000    0.003    0.000 /usr/lib/python3.10/re.py:288(_compile)
     2396    0.006    0.000    0.010    0.000 /usr/lib/python3.10/re.py:187(match)
     2376    0.002    0.000    0.012    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/colors.py:213(_is_nth_color)
     2282    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2212    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:868(<listcomp>)
     2212    0.002    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:865(clean)
     2200    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:918(<listcomp>)
     2200    0.004    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:914(get_siblings)
     2200    0.004    0.000    0.004    0.000 {built-in method numpy.arange}
     2193    0.002    0.000    0.002    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     2193    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1888(_nonzero_dispatcher)
     2193    0.003    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1892(nonzero)
     2193    0.001    0.000    0.010    0.000 <__array_function__ internals>:177(nonzero)
     2176    0.001    0.000    0.002    0.000 /usr/lib/python3.10/copy.py:243(_keep_alive)
     2172    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:904(get_rasterized)
     2172    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:929(get_agg_filter)
     2114    0.001    0.000    0.001    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/text.py:1227(set_text)
     2102    0.001    0.000    0.006    0.000 {method 'any' of 'numpy.ndarray' objects}
     2102    0.001    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/_methods.py:55(_any)
     2086    0.002    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/lines.py:1283(set_ydata)
     2046    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
     2040    0.001    0.000    0.002    0.000 /usr/lib/python3.10/copy.py:264(<genexpr>)
     2019    0.002    0.000    0.005    0.000 <__array_function__ internals>:177(copyto)
     2019    0.000    0.000    0.000    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/multiarray.py:1079(copyto)
     2001    0.019    0.000    0.041    0.000 /home/speersm/.local/lib/python3.10/site-packages/scipy/signal/_peak_finding.py:22(_boolrelextrema)
     2001    0.002    0.000    0.050    0.000 /home/speersm/.local/lib/python3.10/site-packages/scipy/signal/_peak_finding.py:197(argrelextrema)
     2001    0.002    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/numeric.py:150(ones)
     1946    0.002    0.000    0.008    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/transforms.py:157(invalidate)
