"x","y","p","dens"
0.5,0.0123333333333333,0,0
1.5,0.0123333333333333,0,0
2.5,0.0123333333333333,0,0
3.5,0.0123333333333333,0,0
4.5,0.0123333333333333,0,0
5.5,0.0123333333333333,0,0
6.5,0.0123333333333333,0,0
0.5,0.017,0,0
1.5,0.017,0,0
2.5,0.017,0,0
3.5,0.017,0,0
4.5,0.017,0,0
5.5,0.017,0,0
6.5,0.017,0,0
0.5,0.0216666666666667,0,0
1.5,0.0216666666666667,0.00203264844528648,0.435567523989961
2.5,0.0216666666666667,0.00365876720151567,0.784021543181929
3.5,0.0216666666666667,0.00121958906717189,0.261340514393976
4.5,0.0216666666666667,0.000406529689057297,0.0871135047979922
5.5,0.0216666666666667,0,0
6.5,0.0216666666666667,0,0
0.5,0.0263333333333333,0,0
1.5,0.0263333333333333,0.00243917813434378,0.522681028787953
2.5,0.0263333333333333,0.00528488595774486,1.1324755623739
3.5,0.0263333333333333,0.00243917813434378,0.522681028787953
4.5,0.0263333333333333,0.00162611875622919,0.348454019191969
5.5,0.0263333333333333,0,0
6.5,0.0263333333333333,0,0
0.5,0.031,0,0
1.5,0.031,0.00691100471397404,1.48092958156587
2.5,0.031,0.0126024203607762,2.70051864873776
3.5,0.031,0.00487835626868756,1.04536205757591
4.5,0.031,0.00284570782340108,0.609794533585945
5.5,0.031,0.000813059378114594,0.174227009595984
6.5,0.031,0,0
0.5,0.0356666666666667,0,0
1.5,0.0356666666666667,0.00772406409208864,1.65515659116185
2.5,0.0356666666666667,0.0154481281841773,3.3103131823237
3.5,0.0356666666666667,0.00813059378114593,1.74227009595984
4.5,0.0356666666666667,0.00406529689057297,0.871135047979921
5.5,0.0356666666666667,0.00203264844528648,0.435567523989961
6.5,0.0356666666666667,0.000406529689057297,0.0871135047979922
0.5,0.0403333333333333,0,0
1.5,0.0403333333333333,0.0199199547638075,4.26856173510162
2.5,0.0403333333333333,0.0361811423260994,7.7531019270213
3.5,0.0403333333333333,0.0146350688060627,3.13608617272772
4.5,0.0403333333333333,0.00935018284831782,2.00361061035382
5.5,0.0403333333333333,0.00406529689057297,0.871135047979921
6.5,0.0403333333333333,0.00203264844528648,0.435567523989961
0.5,0.045,0,0
1.5,0.045,0.0317093157464691,6.79485337424339
2.5,0.045,0.0687035174506832,14.7221823108607
3.5,0.045,0.047970503308761,10.2793935661631
4.5,0.045,0.0268309594777816,5.74949131666748
5.5,0.045,0.0130089500498335,2.78763215353575
6.5,0.045,0.00162611875622919,0.348454019191969
0.5,0.0496666666666667,0,0
1.5,0.0496666666666667,0.00406529689057297,0.871135047979921
2.5,0.0496666666666667,0.0796798190552302,17.0742469404065
3.5,0.0496666666666667,0.108543426978298,23.2593057810639
4.5,0.0496666666666667,0.0748014627865426,16.0288848828306
5.5,0.0496666666666667,0.0390268501495005,8.36289646060725
6.5,0.0496666666666667,0.0154481281841773,3.3103131823237
0.5,0.0543333333333333,0,0
1.5,0.0543333333333333,0.000406529689057297,0.0871135047979922
2.5,0.0543333333333333,0.00731753440303134,1.56804308636386
3.5,0.0543333333333333,0.0451247954853599,9.66959903257713
4.5,0.0543333333333333,0.0869973534582615,18.6422900267703
5.5,0.0543333333333333,0.0743949330974853,15.9417713780326
6.5,0.0543333333333333,0.0288636079230681,6.18505884065744
0.5,0.059,0,0
1.5,0.059,0,0
2.5,0.059,0,0
3.5,0.059,0.000406529689057297,0.0871135047979922
4.5,0.059,0.00569141564680215,1.21958906717189
5.5,0.059,0.00935018284831782,2.00361061035382
6.5,0.059,0.0117893609826616,2.52629163914177
0.5,0.0636666666666667,0,0
1.5,0.0636666666666667,0,0
2.5,0.0636666666666667,0,0
3.5,0.0636666666666667,0,0
4.5,0.0636666666666667,0,0
5.5,0.0636666666666667,0.000406529689057297,0.0871135047979922
6.5,0.0636666666666667,0.00121958906717189,0.261340514393976
0.5,0.0683333333333333,0,0
1.5,0.0683333333333333,0,0
2.5,0.0683333333333333,0,0
3.5,0.0683333333333333,0,0
4.5,0.0683333333333333,0,0
5.5,0.0683333333333333,0.000406529689057297,0.0871135047979922
6.5,0.0683333333333333,0,0
0.5,0.073,0,0
1.5,0.073,0,0
2.5,0.073,0,0
3.5,0.073,0,0
4.5,0.073,0,0
5.5,0.073,0,0
6.5,0.073,0,0
0.5,0.0776666666666667,0,0
1.5,0.0776666666666667,0,0
2.5,0.0776666666666667,0,0
3.5,0.0776666666666667,0,0
4.5,0.0776666666666667,0,0
5.5,0.0776666666666667,0,0
6.5,0.0776666666666667,0,0
7.5,0.0123333333333333,0,0
8.5,0.0123333333333333,0,0
9.5,0.0123333333333333,0,0
10.5,0.0123333333333333,0,0
11.5,0.0123333333333333,0,0
12.5,0.0123333333333333,0,0
13.5,0.0123333333333333,0,0
14.5,0.0123333333333333,0,0
15.5,0.0123333333333333,0,0
16.5,0.0123333333333333,0,0
17.5,0.0123333333333333,0,0
18.5,0.0123333333333333,0,0
19.5,0.0123333333333333,0,0
20.5,0.0123333333333333,0,0
21.5,0.0123333333333333,0,0
22.5,0.0123333333333333,0,0
23.5,0.0123333333333333,0,0
24.5,0.0123333333333333,0,0
25.5,0.0123333333333333,0,0
26.5,0.0123333333333333,0,0
27.5,0.0123333333333333,0,0
28.5,0.0123333333333333,0,0
29.5,0.0123333333333333,0,0
7.5,0.017,0,0
8.5,0.017,0,0
9.5,0.017,0,0
10.5,0.017,0,0
11.5,0.017,0,0
12.5,0.017,0,0
13.5,0.017,0,0
14.5,0.017,0,0
15.5,0.017,0,0
16.5,0.017,0,0
17.5,0.017,0,0
18.5,0.017,0,0
19.5,0.017,0,0
20.5,0.017,0,0
21.5,0.017,0,0
22.5,0.017,0,0
23.5,0.017,0,0
24.5,0.017,0,0
25.5,0.017,0,0
26.5,0.017,0,0
27.5,0.017,0,0
28.5,0.017,0,0
29.5,0.017,0,0
7.5,0.0216666666666667,0,0
8.5,0.0216666666666667,0,0
9.5,0.0216666666666667,0,0
10.5,0.0216666666666667,0,0
11.5,0.0216666666666667,0,0
12.5,0.0216666666666667,0,0
13.5,0.0216666666666667,0,0
14.5,0.0216666666666667,0,0
15.5,0.0216666666666667,0,0
16.5,0.0216666666666667,0,0
17.5,0.0216666666666667,0,0
18.5,0.0216666666666667,0,0
19.5,0.0216666666666667,0,0
20.5,0.0216666666666667,0,0
21.5,0.0216666666666667,0,0
22.5,0.0216666666666667,0,0
23.5,0.0216666666666667,0,0
24.5,0.0216666666666667,0,0
25.5,0.0216666666666667,0,0
26.5,0.0216666666666667,0,0
27.5,0.0216666666666667,0,0
28.5,0.0216666666666667,0,0
29.5,0.0216666666666667,0,0
7.5,0.0263333333333333,0,0
8.5,0.0263333333333333,0,0
9.5,0.0263333333333333,0,0
10.5,0.0263333333333333,0,0
11.5,0.0263333333333333,0,0
12.5,0.0263333333333333,0,0
13.5,0.0263333333333333,0,0
14.5,0.0263333333333333,0,0
15.5,0.0263333333333333,0,0
16.5,0.0263333333333333,0,0
17.5,0.0263333333333333,0,0
18.5,0.0263333333333333,0,0
19.5,0.0263333333333333,0,0
20.5,0.0263333333333333,0,0
21.5,0.0263333333333333,0,0
22.5,0.0263333333333333,0,0
23.5,0.0263333333333333,0,0
24.5,0.0263333333333333,0,0
25.5,0.0263333333333333,0,0
26.5,0.0263333333333333,0,0
27.5,0.0263333333333333,0,0
28.5,0.0263333333333333,0,0
29.5,0.0263333333333333,0,0
7.5,0.031,0,0
8.5,0.031,0,0
9.5,0.031,0,0
10.5,0.031,0,0
11.5,0.031,0,0
12.5,0.031,0,0
13.5,0.031,0,0
14.5,0.031,0,0
15.5,0.031,0,0
16.5,0.031,0,0
17.5,0.031,0,0
18.5,0.031,0,0
19.5,0.031,0,0
20.5,0.031,0,0
21.5,0.031,0,0
22.5,0.031,0,0
23.5,0.031,0,0
24.5,0.031,0,0
25.5,0.031,0,0
26.5,0.031,0,0
27.5,0.031,0,0
28.5,0.031,0,0
29.5,0.031,0,0
7.5,0.0356666666666667,0,0
8.5,0.0356666666666667,0,0
9.5,0.0356666666666667,0,0
10.5,0.0356666666666667,0,0
11.5,0.0356666666666667,0,0
12.5,0.0356666666666667,0,0
13.5,0.0356666666666667,0,0
14.5,0.0356666666666667,0,0
15.5,0.0356666666666667,0,0
16.5,0.0356666666666667,0,0
17.5,0.0356666666666667,0,0
18.5,0.0356666666666667,0,0
19.5,0.0356666666666667,0,0
20.5,0.0356666666666667,0,0
21.5,0.0356666666666667,0,0
22.5,0.0356666666666667,0,0
23.5,0.0356666666666667,0,0
24.5,0.0356666666666667,0,0
25.5,0.0356666666666667,0,0
26.5,0.0356666666666667,0,0
27.5,0.0356666666666667,0,0
28.5,0.0356666666666667,0,0
29.5,0.0356666666666667,0,0
7.5,0.0403333333333333,0.000204623505850017,0.0438478941107179
8.5,0.0403333333333333,8.67687315265847e-05,0.0185932996128396
